FID,MASK,X,Y,landcover,geology,flowaccum,winter_rad
406,0,731227.2467,3855764.039,1,3,1,2
407,0,750993.5755,3853420.26,4,2,1,3
408,0,751425.8954,3840473.38,1,3,1,3
409,0,753305.7675,3852681.854,1,3,1,3
410,0,736213.7165,3853609.602,10,1,2,3
411,0,731007.5832,3841013.995,4,5,1,3
412,0,746615.2773,3853036.598,4,2,1,3
413,0,732829.4177,3847901.264,4,3,1,1
414,0,729754.8968,3848749.198,4,5,1,3
415,0,752378.5475,3851931.904,3,3,3,2
416,0,728137.7655,3840243.343,1,4,1,3
417,0,730197.782,3853206.213,1,2,1,2
418,0,744465.1854,3848238.798,1,1,1,2
419,0,741268.6178,3848249.599,1,1,1,3
420,0,742667.6666,3853825.694,1,1,3,3
421,0,752143.1872,3844074.08,1,3,3,2
422,0,740755.3726,3842895.111,1,2,1,2
423,0,752705.4738,3855637.563,1,1,1,3
424,0,734874.2532,3856377.016,3,2,1,2
425,0,739408.01,3848440.646,1,4,1,2
426,0,749927.7488,3841866.467,4,3,1,3
427,0,737238.3634,3850356.741,1,1,2,3
428,0,756152.4021,3854306.357,1,3,1,2
429,0,738796.6364,3844627.187,4,2,1,3
430,0,747007.2652,3841614.672,4,3,1,3
431,0,747738.2839,3843021.179,3,3,2,3
432,0,748652.7431,3842771.001,1,3,2,2
433,0,743188.8577,3856034.618,1,1,2,3
434,0,747505.6793,3851740.685,10,2,1,3
435,0,752384.983,3844300.435,4,3,2,3
436,0,738568.6429,3842433.651,10,1,1,3
437,0,755486.2503,3840325.386,3,3,1,2
438,0,726583.6776,3855221.281,1,5,1,3
439,0,733361.5607,3852484.992,3,1,1,3
440,0,728271.9335,3853140.182,4,2,1,3
441,0,736731.1502,3845334.021,0,2,1,2
442,0,731258.6751,3842979.924,4,5,2,3
443,0,731496.282,3845424.282,4,5,2,3
444,0,750607.0087,3846950.81,1,4,1,2
445,0,747271.3046,3854523.021,4,2,1,3
446,0,753235.9761,3852830.243,1,3,1,2
447,0,744189.6758,3846798.91,3,1,1,2
448,0,745582.8977,3852995.881,4,1,1,3
449,0,755885.9582,3846696.19,0,4,1,2
450,0,733010.9945,3855378.482,1,2,1,3
451,0,754612.6929,3839351.863,3,2,1,2
452,0,753660.2494,3854309.815,1,2,1,3
453,0,734619.5426,3842594.156,8,5,1,3
454,0,726129.8432,3854183.382,4,3,1,2
455,0,737739.384,3839905.936,3,5,2,3
456,0,746112.4438,3846451.29,3,2,1,1
457,0,730449.8835,3850920.088,4,4,1,2
458,0,737411.3589,3850365.45,14,1,1,3
459,0,735876.02,3856320.95,1,2,1,3
460,0,741094.3051,3848024.81,1,1,2,2
461,0,728467.0774,3853718.807,1,2,1,3
462,0,748214.804,3846569.623,4,2,1,1
463,0,725700.8828,3848823.558,11,5,1,3
464,0,742108.7922,3845613.262,4,2,3,2
465,0,738985.353,3848599.714,10,4,1,2
466,0,751429.3958,3855300.542,1,2,1,2
467,0,740124.3486,3853123.288,3,1,2,2
468,0,745970.1331,3848025.501,1,4,1,2
469,0,737940.2187,3842861.108,3,1,3,3
470,0,732411.0455,3841668.807,1,5,1,3
471,0,750772.3319,3845545.138,1,3,2,2
472,0,727601.4775,3839974.103,12,4,1,3
473,0,738556.6703,3851987.103,4,1,1,3
474,0,750302.8497,3845413.871,1,3,1,3
475,0,743515.4068,3839910.013,14,1,1,3
476,0,756103.6103,3845068.152,1,1,2,2
477,0,747189.9919,3850045.941,10,1,1,3
478,0,749091.6346,3844943.482,3,3,1,2
479,0,739945.1382,3848864.535,14,4,1,2
480,0,747897.7922,3853255.387,4,2,2,3
481,0,726888.385,3846893.721,8,3,1,3
482,0,747034.0257,3853120.971,3,2,1,1
483,0,733910.3163,3849583.454,1,1,1,3
484,0,752674.6685,3840088.985,3,3,1,2
485,0,754001.2732,3847317.913,10,1,1,3
486,0,755818.5711,3842521.103,4,3,1,2
487,0,728436.9413,3841296.682,4,4,1,3
488,0,752868.0723,3842838.133,1,3,3,2
489,0,750087.1193,3849534.273,1,2,1,2
490,0,738336.9997,3849962.571,1,1,1,3
491,0,749482.7286,3854717.71,1,2,2,3
492,0,748836.4295,3848576.786,1,1,1,2
493,0,746627.3087,3848056.369,10,4,2,2
494,0,728613.8476,3840547.436,11,5,1,3
495,0,743864.2071,3843411.805,1,3,1,3
496,0,728216.7575,3844058.636,8,5,1,3
497,0,755926.8538,3840937.693,3,3,2,1
498,0,743246.7541,3855919.623,3,1,1,2
499,0,732004.1104,3841892.866,11,5,1,3
500,0,735662.416,3852474.294,15,4,1,3
501,0,742398.8493,3841386.388,1,2,1,3
502,0,731455.893,3852068.76,4,1,1,3
503,0,752189.4386,3848246.41,1,1,1,3
504,0,734091.5268,3852148.24,3,1,1,3
505,0,756007.2961,3841281.355,4,3,1,3
506,0,749066.3884,3856333.878,4,2,2,3
507,0,750776.7285,3851048.405,0,2,2,3
508,0,751642.9951,3839531.607,4,3,1,3
509,0,733671.3617,3849022.586,1,1,1,2
510,0,738677.5503,3848933.254,10,4,1,2
511,0,727217.6194,3843166.285,4,5,1,3
512,0,727481.2755,3844096.348,8,5,2,3
513,0,740813.7828,3844302.065,3,2,1,3
